rate,fico
6.91,697
7.5,787
13.04,672
4.43,792
9.36,727
5.65,797
10.24,672
9.17,732
17.75,712
15.14,662
9.59,697
7.4,722
12.06,677
7.37,707
7.86,722
2.78,762
8.46,687
9.36,667
7.13,727
21.45,662
3.37,712
13.04,662
2.78,752
14.74,672
8.87,717
4.65,722
8.87,707
2.17,802
11.36,667
3.37,752
5.65,717
6.51,707
19.22,687
11.08,672
17.0,667
4.24,737
13.04,682
12.06,682
15.5,697
14.52,667
11.02,672
12.06,677
13.04,702
16.47,682
9.59,762
9.86,687
9.86,687
11.98,677
4.75,792
11.08,677
12.37,662
15.54,662
4.24,742
4.65,747
10.84,697
18.23,667
5.65,722
12.55,692
15.24,677
12.06,747
13.52,732
15.0,682
8.24,672
11.17,722
9.59,682
12.4,682
18.72,692
8.87,697
15.24,662
9.73,702
10.84,692
7.89,667
20.51,662
4.65,732
10.24,682
10.74,672
13.07,707
6.0,762
12.55,702
12.55,677
8.87,697
8.24,697
10.42,677
11.1,682
7.34,697
14.02,667
12.06,672
6.51,707
8.46,727
8.87,757
12.06,707
6.91,697
6.91,727
12.82,702
4.65,727
2.78,782
15.97,682
11.02,682
15.24,677
8.87,712
8.87,687
2.78,777
12.06,682
9.73,707
7.4,702
6.51,707
8.87,702
12.06,672
14.02,667
4.37,737
8.64,717
3.29,727
8.87,697
9.44,732
5.24,737
10.23,682
2.54,747
4.65,752
12.55,687
10.24,682
8.87,727
13.04,672
9.28,692
11.08,702
13.04,667
15.39,692
12.06,677
8.98,707
7.49,717
6.08,717
4.26,737
4.65,747
14.74,662
14.02,667
12.06,662
5.65,717
9.86,687
6.51,732
17.89,662
4.65,772
9.86,682
6.51,697
4.26,737
9.97,692
9.48,702
7.49,717
8.46,702
12.55,702
6.74,687
7.12,707
6.91,712
4.5,767
9.81,682
10.84,687
13.07,697
14.52,712
13.04,722
9.86,687
4.65,757
17.74,672
3.37,747
9.44,672
7.74,752
13.04,662
8.87,732
7.49,707
4.37,777
14.52,727
4.63,737
4.75,797
11.4,687
10.84,707
16.74,662
3.74,742
14.02,712
7.03,687
15.8,692
12.08,677
12.02,662
4.65,732
5.65,702
4.66,722
20.51,667
12.55,692
5.65,707
2.54,752
16.17,707
11.08,722
3.37,807
11.4,687
9.61,672
10.24,742
12.02,682
8.74,727
10.42,702
14.74,667
4.65,757
12.55,667
12.7,687
2.78,752
8.23,737
7.74,742
2.78,817
8.87,697
9.28,782
12.06,697
8.74,682
11.71,672
4.65,737
3.37,767
15.3,667
17.24,692
8.87,712
10.62,642
4.37,732
5.07,742
14.02,712
11.66,727
12.56,667
4.24,727
9.86,697
11.08,697
14.74,672
3.37,762
4.65,792
8.87,682
12.06,697
3.89,732
7.0,722
15.24,667
6.63,757
16.74,662
4.41,747
9.86,662
16.66,662
3.89,762
4.65,722
13.04,667
7.11,757
4.37,812
9.86,702
4.63,767
8.87,707
15.54,692
4.65,822
13.15,677
8.41,687
13.24,687
15.0,707
13.9,672
11.08,672
9.43,702
10.18,692
11.4,677
13.04,667
13.07,682
7.89,717
4.63,712
16.17,687
7.89,707
3.37,732
4.65,732
18.73,677
18.73,667
14.02,697
11.98,702
8.58,812
10.5,642
12.06,682
5.69,777
8.46,682
11.02,682
11.4,672
12.06,677
8.46,727
13.04,662
10.84,697
10.74,672
2.78,817
8.61,732
8.24,687
8.87,707
7.5,707
3.66,717
4.37,732
9.86,697
12.06,662
10.42,712
13.89,682
6.91,707
9.86,682
4.49,777
15.8,687
4.63,757
8.87,682
9.86,682
15.0,722
7.89,747
5.65,737
12.06,687
4.37,762
11.4,687
7.34,687
8.74,727
14.26,697
15.5,697
6.91,707
4.65,777
10.73,702
7.89,692
4.63,717
12.56,667
8.87,687
10.84,692
10.84,722
4.65,742
19.22,672
11.08,687
5.65,742
14.02,702
9.86,697
10.84,677
4.65,722
14.02,662
8.61,732
16.44,667
12.06,677
10.74,702
9.86,682
3.37,732
10.42,712
7.89,692
11.4,702
7.7,752
11.4,667
20.58,662
12.55,692
10.74,672
10.73,722
11.96,697
12.55,677
8.23,717
12.77,712
10.05,662
9.99,657
9.86,702
17.25,677
4.24,757
5.63,727
10.82,672
10.67,702
4.37,772
5.65,722
10.84,752
6.75,807
18.24,682
9.86,702
7.4,712
13.04,702
8.46,697
10.32,682
7.58,747
8.74,717
4.65,712
4.24,802
11.21,687
13.04,697
10.84,677
7.49,727
9.86,662
3.66,717
10.84,682
9.86,687
13.57,687
4.65,712
9.67,662
11.08,702
10.74,717
4.26,757
8.87,707
7.4,702
6.51,697
8.61,692
7.74,727
8.74,742
11.1,667
9.86,697
8.24,752
15.3,717
9.86,722
6.91,712
5.24,717
2.78,757
4.24,742
14.02,707
2.78,782
12.74,702
8.53,707
12.7,667
3.29,757
8.87,697
13.64,677
13.52,687
16.66,682
13.57,662
15.3,672
11.08,712
8.46,707
4.65,722
11.08,727
4.65,727
7.74,702
16.47,697
12.33,702
14.68,672
5.65,702
14.02,682
4.65,727
11.08,672
12.55,682
7.49,722
8.33,702
16.49,702
11.21,692
18.72,687
17.05,692
9.86,682
14.52,672
5.65,717
3.37,747
8.87,687
11.4,682
4.37,807
3.74,812
4.37,727
10.97,672
10.84,687
10.84,742
12.55,667
2.78,807
11.08,677
10.67,682
4.37,732
18.73,682
11.8,662
8.87,682
2.17,777
3.74,792
15.24,677
11.08,742
15.54,682
7.13,717
12.06,672
2.78,762
8.46,712
4.65,707
7.74,707
13.04,672
9.44,707
7.74,697
12.55,692
6.38,752
8.53,692
4.65,727
19.7,672
10.84,682
4.63,747
9.44,732
15.97,672
9.62,707
4.04,727
4.65,757
5.24,782
9.44,732
14.02,707
20.95,667
12.55,672
4.63,737
9.86,742
7.89,692
11.71,687
12.71,707
7.89,717
7.49,762
10.42,677
8.87,717
14.52,692
8.87,697
3.37,747
4.37,747
7.89,717
17.75,662
2.78,787
14.33,702
10.24,682
10.84,697
8.87,692
4.65,722
9.86,707
8.87,702
12.06,667
9.17,697
9.86,687
4.65,712
14.02,662
13.04,667
4.65,782
13.04,717
8.11,707
15.24,677
20.51,702
11.02,722
9.17,682
15.78,682
7.89,702
8.87,697
4.26,762
11.08,677
7.13,722
7.4,737
7.78,687
2.78,777
14.02,677
9.86,752
10.55,697
3.37,757
14.02,662
14.24,712
15.39,702
7.74,737
14.02,672
3.37,817
8.98,732
3.66,717
8.87,702
18.24,692
11.08,717
11.01,687
7.49,722
5.63,797
8.61,707
11.4,667
18.24,667
19.7,667
4.65,712
14.63,692
9.17,677
4.65,727
7.12,692
11.08,697
7.13,722
17.75,692
8.98,717
17.75,707
11.08,752
14.24,667
3.37,712
5.24,747
15.24,687
19.22,677
16.74,662
14.29,657
3.67,757
7.49,712
3.66,712
6.07,747
4.24,757
9.86,682
12.02,682
15.24,672
2.17,782
4.24,717
10.24,707
6.91,712
5.65,712
6.91,712
5.63,712
7.0,752
9.86,682
13.04,707
10.84,677
7.34,742
4.41,702
12.55,682
15.8,662
7.89,707
14.68,672
12.06,682
15.8,692
7.34,712
12.06,667
6.91,712
7.11,682
10.36,717
8.87,697
10.84,672
9.86,667
9.86,692
8.96,752
9.44,697
6.91,707
11.02,677
8.87,677
4.24,742
12.55,677
8.24,697
10.24,692
9.86,722
9.86,667
4.15,807
2.78,792
14.02,692
7.89,717
9.86,682
14.31,662
2.78,772
8.61,737
9.81,687
7.89,737
16.44,667
13.94,677
4.65,737
8.24,722
2.78,782
4.26,737
9.86,692
14.33,667
11.08,677
9.86,757
8.87,672
11.4,672
4.65,752
6.75,747
4.24,717
9.86,692
4.65,797
17.24,667
11.58,677
11.08,672
7.4,747
2.78,807
3.37,737
13.04,722
2.78,772
15.39,672
4.24,752
17.75,697
14.24,727
13.64,682
9.17,732
10.54,682
10.24,777
14.74,667
10.24,677
2.17,797
10.84,682
18.73,667
4.37,742
2.78,787
10.74,667
6.74,802
14.02,757
15.24,667
12.06,677
13.04,672
10.84,667
9.86,687
9.17,747
10.42,697
10.74,682
9.98,687
11.08,672
